SubNum,TrialNum,Word,List,Type,NoList,Studied,New,RT
28,1,"STATIONER","","semantic",1,0,"1!",2.71458449866623
28,2,"OPOSSUM","","semantic",1,0,"1!",4.01019907044247
28,3,"INDUSTRY","","semantic",1,0,"1!",5.00216815900058
28,4,"CONVENIENCE","","semantic",1,0,"1!",6.01010308344848
28,5,"SAT","CAT","phonetic",0,0,"1!",7.018040422583
28,6,"EMBALMING","PYRAMID","semantic",0,1,"6^",9.92987516557332
28,7,"RATTLE","INFANT","semantic",0,0,"1!",12.0257628476247
28,8,"COMIC","COMEDIAN","semantic",0,0,"1!",12.8096834572498
28,9,"COIN","","phonetic",1,0,"1!",13.5456437753746
28,10,"FUR","","phonetic",1,0,"1!",14.3136299411999
28,11,"CASINO","GAMBLER","semantic",0,0,"1!",15.2415751043009
28,12,"PERK","","phonetic",1,0,"1!",16.0255527627887
28,13,"AEROBICS","FITNESS","semantic",0,0,"1!",16.9694990777643
28,14,"DINOSAUR","CRITICAL","semantic",1,0,"1!",17.7694796992
28,15,"SAW","","phonetic",1,0,"1!",18.6653640004806
28,16,"LEST","WEST","phonetic",0,1,"6^",19.5453461554134
28,17,"SEAL","TEAL","phonetic",0,0,"1!",20.3613040829077
28,18,"COG","COP","phonetic",0,0,"1!",21.3372370054713
28,19,"WARMHEARTED","","semantic",1,0,"1!",22.169207856874
28,20,"WOOD","","phonetic",1,0,"1!",23.0331861432642
28,21,"MOORING","","semantic",1,0,"1!",23.8811336968793
28,22,"COB","COP","phonetic",0,1,"6^",27.2889132915298
28,23,"TEAL","CRITICAL","phonetic",1,0,"1!",28.1528336234624
28,24,"AMPHIBIANS","DINOSAUR","semantic",0,1,"6^",29.0007666886086
28,25,"HATE","FATE","phonetic",0,0,"1!",29.7367982423166
28,26,"CONJURE","MAGICIAN","semantic",0,0,"1!",30.5367444533622
28,27,"LINGUISTICS","","semantic",1,0,"1!",31.4166565800551
28,28,"JOY","","phonetic",1,0,"1!",32.7125923158601
28,29,"GLACIERS","DINOSAUR","semantic",0,0,"1!",33.5285538655007
28,30,"MOON","BOON","phonetic",0,1,"6^",34.888504773262
28,31,"PODIUM","","semantic",1,0,"1!",35.7524302366655
28,32,"COD","COP","phonetic",0,0,"1!",36.9523503078381
28,33,"BUFFOON","COMEDIAN","semantic",0,1,"6^",37.7523007447599
28,34,"VEST","WEST","phonetic",0,1,"5%",40.3121723274235
28,35,"BIRD","","phonetic",1,0,"1!",41.0641051221173
28,36,"YAW","","phonetic",1,0,"1!",42.0880677608075
28,37,"VEAL","TEAL","phonetic",0,1,"6^",42.872049343423
28,38,"HARDNESS","DIAMOND","semantic",0,1,"1!",43.943968651467
28,39,"BRILLIANCE","DIAMOND","semantic",0,0,"1!",45.4318750455277
28,40,"PHYSIQUE","FITNESS","semantic",0,1,"6^",46.4718020108994
28,41,"APARTMENT","","semantic",1,0,"1!",47.1757883988321
28,42,"SCHOOLYARD","","semantic",1,0,"1!",47.9117118917638
28,43,"STAKES","GAMBLER","semantic",0,1,"6^",48.6797602378065
28,44,"PRECIOUS","DIAMOND","semantic",0,0,"1!",50.9035705047427
28,45,"PACIFIER","INFANT","semantic",0,1,"6^",51.7834907812066
28,46,"TEAM","TEAL","phonetic",0,1,"6^",52.4874590584077
28,47,"NOW","","phonetic",1,0,"1!",53.6554359877482
28,48,"JUGGLING","MAGICIAN","semantic",0,1,"6^",54.3434716321062
28,49,"FACE","FATE","phonetic",0,0,"1!",55.703379677725
28,50,"PAUPER","","semantic",1,0,"1!",56.343369306298
28,51,"MECHANICAL","","semantic",1,0,"1!",57.1592173619429
28,52,"VANISH","MAGICIAN","semantic",0,0,"1!",57.9431506491965
28,53,"CAT","CRITICAL","phonetic",1,0,"1!",59.4470760038821
28,54,"HAUNTING","PHANTOM","semantic",0,0,"1!",60.2630834341981
28,55,"UNFORMED","","semantic",1,0,"1!",61.159038367332
