SubNum,Group,TrialNum,Word,List,Type,NoList,Pleasantness,RT
51,young,1,TRIPLICATE,,semantic,1,,NA
51,young,2,CARPORT,,semantic,1,4$,4.97746720537543
51,young,3,MOORING,,semantic,1,4,7.64058607607149
51,young,4,BIOLOGIST,,semantic,1,1!,10.7236824352294
51,young,5,SABLE,,semantic,1,1!,12.1902757936623
51,young,6,PROMENADE,,semantic,1,2@,17.3232316586655
51,young,7,SYNOPSIS,,semantic,1,1!,19.939729528036
51,young,8,BAGEL,,semantic,1,1!,22.3228860450909
51,young,9,INDUSTRY,,semantic,1,2@,26.739273680374
51,young,10,TORTILLA,,semantic,1,1!,28.2891831416637
51,young,11,MEAL,TEAL,phonetic,0,1!,31.9722555342596
51,young,12,POKER,GAMBLER,semantic,0,,NA
51,young,13,ROULETTE,GAMBLER,semantic,0,4,38.7051083492115
51,young,14,JACKPOT,GAMBLER,semantic,0,1,40.8549518873915
51,young,15,CASINO,GAMBLER,semantic,0,2,43.6881074837875
51,young,16,FAME,FATE,phonetic,0,2,47.0378895057365
51,young,17,DUNGEON,CASTLE,semantic,0,5,50.2043478484266
51,young,18,MOON,BOON,phonetic,0,1,52.2375270491466
51,young,19,REPTILES,DINOSAUR,semantic,0,4,55.7706427115481
51,young,20,ROSE,ROLE,phonetic,0,3,58.5037511896808
51,young,21,TEAT,TEAL,phonetic,0,5,61.6868889320176
51,young,22,HIP,SIP,phonetic,0,4,65.30328387185
51,young,23,BOOS,BOON,phonetic,0,3,68.7364164073952
51,young,24,MANSION,CASTLE,semantic,0,2,71.0195979473647
51,young,25,PUN,BUN,phonetic,0,3,73.7527384213172
51,young,26,DEMENTED,LUNATIC,semantic,0,5,76.6025350829586
51,young,27,SIX,SIP,phonetic,0,3,80.0022891992703
51,young,28,BOOT,BOON,phonetic,0,,NA
51,young,29,RABBIT,MAGICIAN,semantic,0,2,85.4019298215862
51,young,30,APPARITION,PHANTOM,semantic,0,3,89.1350235093851
51,young,31,WELT,WEST,phonetic,0,4,91.5014964009169
51,young,32,GOBLIN,PHANTOM,semantic,0,4,94.3179710886907
51,young,33,SEAL,TEAL,phonetic,0,3,98.1177334755193
51,young,34,BARBELLS,FITNESS,semantic,0,4,101.284164048499
51,young,35,PACIFIER,INFANT,semantic,0,4,103.984006092651
51,young,36,LOTTERY,GAMBLER,semantic,0,3,107.317116864957
51,young,37,RANTING,LUNATIC,semantic,0,4,109.316987976665
51,young,38,BICEPS,FITNESS,semantic,0,4,113.216690628324
51,young,39,NOON,BOON,phonetic,0,3,115.649863007246
51,young,40,NUTRITION,FITNESS,semantic,0,3,118.566321425606
51,young,41,FACE,FATE,phonetic,0,3,121.449450927321
51,young,42,HUMORIST,COMEDIAN,semantic,0,3,124.382582104532
51,young,43,SIT,SIP,phonetic,0,3,127.399083716795
51,young,44,AEROBICS,FITNESS,semantic,0,3,131.79874456278
51,young,45,RATE,FATE,phonetic,0,3,133.082001262344
51,young,46,PSYCHOTIC,LUNATIC,semantic,0,2,137.581685380777
51,young,47,SOLE,ROLE,phonetic,0,3,139.414897422306
51,young,48,DIP,SIP,phonetic,0,3,141.948056852212
51,young,49,DERANGED,LUNATIC,semantic,0,5,145.247824219521
51,young,50,COG,COP,phonetic,0,3,148.814257931663
51,young,51,PEAL,TEAL,phonetic,0,4,151.380739335436
51,young,52,GATE,FATE,phonetic,0,4,154.980514339404
51,young,53,RIP,SIP,phonetic,0,4,157.230360020651
