SubNum,Group,Hostname,TrialNum,Word,List,Type,NoList,Studied,New,RT,Credit,Lab
80,young,cMAPLab-Behav,1,JARGON,,semantic,1,0,1!,2.50492460738496,y,y
80,young,cMAPLab-Behav,2,INDUSTRY,,semantic,1,0,1!,3.79673950834695,y,y
80,young,cMAPLab-Behav,3,SCISSORS,,semantic,1,0,1!,4.9490980640694,y,y
80,young,cMAPLab-Behav,4,DACHSHUND,,semantic,1,0,1!,7.62003695754174,y,y
80,young,cMAPLab-Behav,5,THESAURUS,,semantic,1,0,1!,8.84613397686098,y,y
80,young,cMAPLab-Behav,6,MAGICIAN,CRITICAL,semantic,1,0,1!,10.8178526051815,y,y
80,young,cMAPLab-Behav,7,COW,,phonetic,1,0,1!,13.4480197437606,y,y
80,young,cMAPLab-Behav,8,RUBIES,DIAMOND,semantic,0,1,6^,16.4191725906931,y,y
80,young,cMAPLab-Behav,9,NOW,,phonetic,1,0,1!,17.7108570583041,y,y
80,young,cMAPLab-Behav,10,GLITTERING,DIAMOND,semantic,0,0,6^,19.701259301929,y,y
80,young,cMAPLab-Behav,11,SOON,BOON,phonetic,0,1,1!,23.1328974721164,y,y
80,young,cMAPLab-Behav,12,POP,COP,phonetic,0,1,6^,24.0246664434335,y,y
80,young,cMAPLab-Behav,13,EMERALD,DIAMOND,semantic,0,1,1!,25.9687122464939,y,y
80,young,cMAPLab-Behav,14,ANTIQUITY,,semantic,1,0,1!,27.15081773158,y,y
80,young,cMAPLab-Behav,15,PICCOLO,,semantic,1,0,1!,28.3670095139369,y,y
80,young,cMAPLab-Behav,16,REST,WEST,phonetic,0,0,6^,29.7164524352329,y,y
80,young,cMAPLab-Behav,17,MILE,MIRE,phonetic,0,0,1!,31.100861758182,y,y
80,young,cMAPLab-Behav,18,INFANT,CRITICAL,semantic,1,0,1!,31.9576006079478,y,y
80,young,cMAPLab-Behav,19,TOY,,phonetic,1,0,1!,32.6820937247021,y,y
80,young,cMAPLab-Behav,20,GAMBLER,CRITICAL,semantic,1,0,1!,34.5856269289698,y,y
80,young,cMAPLab-Behav,21,HYPNOTIST,MAGICIAN,semantic,0,1,1!,36.3704508161491,y,y
80,young,cMAPLab-Behav,22,OPOSSUM,,semantic,1,0,1!,37.7174394521971,y,y
80,young,cMAPLab-Behav,23,MIRE,CRITICAL,phonetic,1,0,1!,39.1600772165439,y,y
80,young,cMAPLab-Behav,24,PULL,,phonetic,1,0,1!,40.3283097248968,y,y
80,young,cMAPLab-Behav,25,CANVAS,,semantic,1,0,1!,42.2582191186211,y,y
80,young,cMAPLab-Behav,26,CASTLE,CRITICAL,semantic,1,0,1!,43.7351852303264,y,y
80,young,cMAPLab-Behav,27,HEAL,TEAL,phonetic,0,1,6^,44.7571185604947,y,y
80,young,cMAPLab-Behav,28,GUN,BUN,phonetic,0,1,6^,45.6550764874,y,y
80,young,cMAPLab-Behav,29,EXERTION,FITNESS,semantic,0,1,1!,46.8136214328078,y,y
80,young,cMAPLab-Behav,30,BUD,BUN,phonetic,0,0,1!,48.0439444926978,y,y
80,young,cMAPLab-Behav,31,HOUSECOAT,,semantic,1,0,1!,49.4307088860178,y,y
80,young,cMAPLab-Behav,32,BOOK,,phonetic,1,0,1!,50.277434303287,y,y
80,young,cMAPLab-Behav,33,JOY,,phonetic,1,0,1!,51.185121275219,y,y
80,young,cMAPLab-Behav,34,TEETHING,INFANT,semantic,0,1,6^,52.3978495175461,y,y
80,young,cMAPLab-Behav,35,RAW,,phonetic,1,0,6^,55.3428553956001,y,y
80,young,cMAPLab-Behav,36,LAWN,,phonetic,1,0,1!,57.1487851095571,y,y
80,young,cMAPLab-Behav,37,YAW,,phonetic,1,0,1!,57.8641029884629,y,y
80,young,cMAPLab-Behav,38,WIRE,MIRE,phonetic,0,0,6^,58.6855983191626,y,y
80,young,cMAPLab-Behav,39,MAT,CAT,phonetic,0,1,6^,59.3487980245973,y,y
80,young,cMAPLab-Behav,40,ROTE,ROLE,phonetic,0,0,6^,60.5149611329998,y,y
80,young,cMAPLab-Behav,41,FORTRESS,CASTLE,semantic,0,1,6^,61.4685371236837,y,y
80,young,cMAPLab-Behav,42,MOORING,,semantic,1,0,1!,63.2099211455552,y,y
80,young,cMAPLab-Behav,43,TRIPLICATE,,semantic,1,0,6^,65.339837894865,y,y
80,young,cMAPLab-Behav,44,NEST,WEST,phonetic,0,0,1!,66.3325404696197,y,y
80,young,cMAPLab-Behav,45,NIP,SIP,phonetic,0,0,1!,67.999981183385,y,y
80,young,cMAPLab-Behav,46,ROBE,ROLE,phonetic,0,0,6^,69.1822247995278,y,y
80,young,cMAPLab-Behav,47,MECHANICAL,,semantic,1,0,1!,70.175248539681,y,y
80,young,cMAPLab-Behav,48,TIRE,MIRE,phonetic,0,1,6^,70.887309006016,y,y
80,young,cMAPLab-Behav,49,SILHOUETTE,,semantic,1,0,6^,74.9970543445206,y,y
80,young,cMAPLab-Behav,50,BOP,COP,phonetic,0,0,6^,75.7774558996289,y,y
80,young,cMAPLab-Behav,51,GAZETTE,,semantic,1,0,1!,77.4763447357736,y,y
80,young,cMAPLab-Behav,52,ROLE,CRITICAL,phonetic,1,0,6^,78.1921347406451,y,y
80,young,cMAPLab-Behav,53,WORKOUT,FITNESS,semantic,0,1,6^,78.9338788440955,y,y
80,young,cMAPLab-Behav,54,EXTINCTION,DINOSAUR,semantic,0,1,6^,79.8317093312016,y,y
80,young,cMAPLab-Behav,55,DIAPERS,INFANT,semantic,0,1,6^,80.5620009587919,y,y
80,young,cMAPLab-Behav,56,BLACKJACK,GAMBLER,semantic,0,0,1!,81.6850111552585,y,y
80,young,cMAPLab-Behav,57,CATERPILLAR,BUTTERFLY,semantic,0,1,6^,82.8279387382345,y,y
80,young,cMAPLab-Behav,58,FITNESS,CRITICAL,semantic,1,0,6^,85.6283547564763,y,y
80,young,cMAPLab-Behav,59,HOP,COP,phonetic,0,1,6^,86.2511846983289,y,y
80,young,cMAPLab-Behav,60,BAGEL,,semantic,1,0,1!,87.1411117796706,y,y
80,young,cMAPLab-Behav,61,INSANITY,LUNATIC,semantic,0,1,6^,88.0930644096989,y,y
80,young,cMAPLab-Behav,62,WARMHEARTED,,semantic,1,0,1!,92.8263927822891,y,y
80,young,cMAPLab-Behav,63,LATE,FATE,phonetic,0,1,6^,93.8117269418426,y,y
80,young,cMAPLab-Behav,64,APARTMENT,,semantic,1,0,1!,94.9206216838393,y,y
80,young,cMAPLab-Behav,65,LUNATIC,CRITICAL,semantic,1,0,1!,96.8754943103258,y,y
